SO Description,CustCode,Dsg Ctg,Prod Ctg,PPC Delivery Period,Factory,Set Type,MS Qty,WS Qty,KT,Total Bag Bal,Bal To Prod Qty,Bal To Exp Qty,BalToMfg,CastBal
LGD Diamond Bangle,CUST0005,NECKLACE,FINE JEWELRY,W34-2026,F4,WS/MS,3,20,U09K,77,353,3,212,145
LGD Halo Ring Order,CUST0055,BRACELET,MODERN DESIGN,W11-2026,F1,WS,0,16,U18K,784,291,121,297,183
LGD Eternity Ring,CUST0021,BOLO BRACELET,BRIDAL COLLECTION,W48-2026,F9,WS,0,44,PT95,203,288,46,150,198
LGD Diamond Bangle,CUST0072,EARRING,VINTAGE STYLE,W16-2026,F3,WS/MS,26,22,09K,583,125,277,314,1
LGD Diamond Bangle,CUST0099,RING,VINTAGE STYLE,W07-2026,F2,WS/MS,30,6,S930,861,313,276,286,134
Mined Stone Brooch Order,CUST0036,RING,BRIDAL COLLECTION,W50-2026,F10,MS,10,0,09K,747,337,250,8,150
Natural Diamond Bracelet,CUST0091,RING,LUXURY LINE,W47-2026,F2,WS,0,26,U14K,724,118,147,300,21
LGD Diamond Earring Set,CUST0096,BANGLE,STATEMENT PIECES,W06-2026,F9,MS,7,0,14K92,216,482,76,4,76
Natural Diamond Bracelet,CUST0100,RING,FINE JEWELRY,W47-2026,F2,WS,0,27,S925,565,89,191,185,12
Natural Diamond Bracelet,CUST0042,NECKLACE,BRIDAL COLLECTION,Due,F1,MS,42,0,09K92,504,226,4,9,124
Natural Stone Pendant,CUST0054,BANGLE,FINE JEWELRY,W32-2026,F2,WS,0,48,14K,756,230,103,117,164
Mined Diamond Necklace Order,CUST0008,BRACELET,MODERN DESIGN,Due,F10,WS,0,46,10K,454,479,111,266,128
Natural Diamond Bangle Order,CUST0054,EARRING,EVERYDAY WEAR,Overdue,F9,WS,0,2,10K,52,87,219,60,144
LGD Pendant Collection,CUST0096,ANKLET,BRIDAL COLLECTION,W08-2026,F1,WS,0,13,10K,320,114,117,217,174
Natural Diamond Bracelet,CUST0002,RING,VINTAGE STYLE,W44-2026,F1,WS/MS,15,5,BRASS,278,78,23,363,98
Mined Diamond Bridal Set,CUST0071,BRACELET,FINE JEWELRY,W28-2026,F3,MS,6,0,S925,134,361,259,247,106
Mined Stone Ring Collection,CUST0016,RING,FINE JEWELRY,W36-2026,F10,MS,24,0,S928,905,377,75,33,171
Mined Stone Brooch Order,CUST0083,NECKLACE,MODERN DESIGN,W19-2026,F10,WS/MS,16,23,18K,252,431,221,35,16
LGD Diamond Necklace,CUST0025,RING,FASHION JEWELRY,Due,F9,WS,0,46,09KPT,402,296,122,32,170
Natural Diamond Anklet,CUST0040,NECKLACE,STATEMENT PIECES,Due,F9,MS,20,0,U18K,655,116,243,323,114
LGD Diamond Necklace,CUST0096,BANGLE,VINTAGE STYLE,W01-2026,F9,WS,0,44,U14K,458,234,184,340,151
Mined Diamond Necklace Order,CUST0016,BROOCH,STATEMENT PIECES,W20-2026,F2,WS/MS,10,22,09K92,928,335,293,314,172
Natural Stone Pendant,CUST0097,RING,FINE JEWELRY,Overdue,F4,WS,0,18,U18K,993,242,245,51,65
Mined Stone Ring Collection,CUST0040,EARRING,MODERN DESIGN,W16-2026,F2,WS,0,22,U14K,176,16,49,98,110
LGD Eternity Ring,CUST0039,NECKLACE,BRIDAL COLLECTION,W07-2026,F2,WS,0,50,14K,337,473,293,382,169
Mined Diamond Necklace Order,CUST0025,RING,VINTAGE STYLE,W34-2026,F1,MS,31,0,10K,918,0,57,295,63
LGD Solitaire Engagement Ring,CUST0056,BRACELET,FINE JEWELRY,Due,F9,MS,23,0,S930,506,400,259,190,8
LGD Solitaire Engagement Ring,CUST0052,EAR PARTY,MODERN DESIGN,W45-2026,F10,MS,46,0,09K,982,235,14,353,39
LGD Diamond Earring Set,CUST0076,EARRING,MODERN DESIGN,Overdue,F9,WS,0,48,U18K,896,414,238,181,63
Natural Diamond Bangle Order,CUST0040,ANKLET,STATEMENT PIECES,Due,F9,WS/MS,29,24,14K,652,462,253,154,174
Natural Diamond Bracelet,CUST0047,BROOCH,MODERN DESIGN,W15-2026,F1,MS,40,0,S928,649,130,38,223,2
Mined Diamond Bridal Set,CUST0001,RING,VINTAGE STYLE,W24-2026,F9,MS,41,0,09KPT,2,440,57,161,73
Mined Diamond Necklace Order,CUST0099,BANGLE,FINE JEWELRY,Due,F2,WS/MS,30,26,U18K,992,351,162,339,118
Mined Diamond Necklace Order,CUST0100,NECK PIECE,STATEMENT PIECES,Overdue,F9,MS,23,0,U10K,641,36,254,172,141
LGD Solitaire Engagement Ring,CUST0015,EARRING,MODERN DESIGN,Due,F3,MS,10,0,09K,446,98,167,163,88
Mined Stone Ring Collection,CUST0013,RING BRIDAL,MODERN DESIGN,W39-2026,F3,MS,9,0,S928,975,424,164,106,116
LGD Diamond Bangle,CUST0008,RING,STATEMENT PIECES,W12-2026,F1,MS,26,0,S928,803,408,60,130,128
Natural Diamond Bracelet,CUST0078,RING,STATEMENT PIECES,Due,F1,WS/MS,20,18,18K,515,343,29,225,1
LGD Bridal Set Order,CUST0037,BROOCH,STATEMENT PIECES,Overdue,F4,MS,2,0,S928,29,20,159,356,25
LGD Diamond Bangle,CUST0099,RING,EVERYDAY WEAR,W50-2026,F10,MS,38,0,14K92,637,345,22,286,143
LGD Bridal Set Order,CUST0032,NECKLACE,BRIDAL COLLECTION,Due,F1,WS/MS,20,6,18K,311,499,176,303,183
LGD Bridal Set Order,CUST0087,NECKLACE,VINTAGE STYLE,W23-2026,F2,WS,0,6,PT95,485,372,143,384,141
LGD Diamond Ring Order,CUST0098,EARRING,STATEMENT PIECES,W26-2026,F4,WS,0,25,14K,509,72,6,58,108
Mined Stone Ring Collection,CUST0052,EARRING,FASHION JEWELRY,Due,F3,MS,49,0,14K,846,126,63,157,96
LGD Diamond Necklace,CUST0063,BRACELET,STATEMENT PIECES,To Check,F3,WS/MS,12,25,18K,686,257,199,9,151
Natural Stone Pendant,CUST0050,RING BRIDAL,FINE JEWELRY,W48-2026,F9,WS/MS,11,4,S930,38,105,215,384,166
Mined Stone Brooch Order,CUST0007,RING,STATEMENT PIECES,W46-2026,F2,MS,45,0,U18K,867,424,234,350,92
LGD Diamond Necklace,CUST0088,NECK PIECE,FINE JEWELRY,W22-2026,F2,WS/MS,4,10,U10K,815,420,63,234,49
Natural Stone Pendant,CUST0074,BANGLE,BRIDAL COLLECTION,W29-2026,F10,MS,15,0,PT95,484,189,146,324,74
Natural Diamond Bangle Order,CUST0079,RING BRIDAL,BRIDAL COLLECTION,W05-2026,F2,MS,18,0,09K,621,427,25,299,144
Mined Stone Brooch Order,CUST0073,RING BRIDAL,MODERN DESIGN,Due,F4,WS/MS,12,9,14K92,148,467,150,231,153
LGD Halo Ring Order,CUST0048,RING,LUXURY LINE,W37-2026,F2,MS,40,0,10K,25,439,210,214,64
Natural Diamond Ring Order,CUST0092,PENDANT,MODERN DESIGN,W50-2026,F9,MS,9,0,10K,599,209,78,353,144
Mined Diamond Necklace Order,CUST0049,RING,EVERYDAY WEAR,W21-2026,F4,WS,0,42,14K,755,418,189,52,160
Natural Diamond Anklet,CUST0010,RING,EVERYDAY WEAR,W02-2026,F1,MS,33,0,U14K,479,300,211,203,168
Mined Stone Ring Collection,CUST0048,NECK PIECE,MODERN DESIGN,W16-2026,F1,MS,1,0,U10K,249,410,189,344,66
Mined Stone Earring Set,CUST0054,RING,FASHION JEWELRY,W25-2026,F10,WS,0,3,09K,165,239,247,80,11
Mined Diamond Necklace Order,CUST0100,RING BRIDAL,VINTAGE STYLE,Due,F3,WS,0,42,10K92,64,356,164,5,42
Natural Diamond Anklet,CUST0056,RING,STATEMENT PIECES,To Check,F4,WS,0,10,10K,578,154,19,176,40
Natural Stone Pendant,CUST0018,RING,FINE JEWELRY,W05-2026,F3,WS,0,41,U14K,229,372,110,179,125
Mined Stone Brooch Order,CUST0094,EARRING,FINE JEWELRY,W05-2026,F3,MS,16,0,14K,390,252,86,239,172
Mined Stone Earring Set,CUST0006,PENDANT,FASHION JEWELRY,Due,F1,WS,0,23,S925,892,447,112,337,96
LGD Diamond Ring Order,CUST0017,PENDANT,CLASSIC COLLECTION,Overdue,F1,MS,48,0,18K,525,52,64,320,74
LGD Tennis Bracelet Order,CUST0079,NECKLACE,FINE JEWELRY,W19-2026,F9,MS,9,0,S925,40,418,133,17,103
LGD Diamond Ring Order,CUST0050,RING,VINTAGE STYLE,W33-2026,F3,MS,46,0,U14K,121,362,218,266,162
Natural Diamond Ring Order,CUST0095,RING BRIDAL,FASHION JEWELRY,Due,F3,MS,48,0,BRASS,880,405,293,348,40
LGD Diamond Earring Set,CUST0034,EARRING,LUXURY LINE,Overdue,F1,MS,37,0,U18K,14,475,47,26,29
Natural Diamond Anklet,CUST0089,PENDANT,MODERN DESIGN,W47-2026,F2,MS,22,0,U18K,148,475,14,349,170
LGD Solitaire Engagement Ring,CUST0053,NECKLACE,CLASSIC COLLECTION,W17-2026,F2,WS,0,24,S928,798,221,59,160,65
Natural Diamond Bracelet,CUST0089,BRACELET,EVERYDAY WEAR,W44-2026,F9,WS/MS,14,12,10K,416,180,157,349,50
Natural Diamond Bangle Order,CUST0007,EARRING,BRIDAL COLLECTION,W36-2026,F1,MS,7,0,10K92,610,25,147,2,198
Mined Stone Earring Set,CUST0002,BRACELET,LUXURY LINE,Overdue,F4,MS,38,0,18K,738,174,218,348,115
Natural Stone Pendant,CUST0025,RING,VINTAGE STYLE,W06-2026,F10,MS,48,0,S930,731,230,30,111,96
LGD Diamond Ring Order,CUST0084,BRACELET,BRIDAL COLLECTION,W18-2026,F3,MS,26,0,10K,424,76,47,362,80
Natural Diamond Bracelet,CUST0010,RING,VINTAGE STYLE,W40-2026,F9,WS/MS,25,29,S930,132,185,159,318,153
LGD Bridal Set Order,CUST0059,BRACELET,CLASSIC COLLECTION,Due,F1,WS/MS,25,3,09K,139,36,156,168,185
Natural Diamond Bracelet,CUST0003,EARRING,MODERN DESIGN,W18-2026,F3,WS,0,25,U18K,628,278,37,363,121
Natural Diamond Ring Order,CUST0016,RING BRIDAL,FASHION JEWELRY,Due,F1,WS,0,20,U18K,587,257,88,257,170
LGD Tennis Bracelet Order,CUST0088,RING BRIDAL,LUXURY LINE,W39-2026,F9,WS,0,31,PT95,981,208,264,98,54
Mined Diamond Necklace Order,CUST0090,RING,LUXURY LINE,Due,F9,MS,37,0,09KPT,603,338,150,363,199
Natural Diamond Bangle Order,CUST0088,RING,MODERN DESIGN,W25-2026,F9,MS,19,0,14K,769,434,279,283,89
LGD Diamond Bangle,CUST0094,EARRING,STATEMENT PIECES,Overdue,F10,MS,26,0,BRASS,403,190,165,204,66
Natural Diamond Bangle Order,CUST0058,EARRING,CLASSIC COLLECTION,W21-2026,F1,MS,11,0,U14K,67,150,137,111,13
Mined Stone Ring Collection,CUST0030,RING BRIDAL,VINTAGE STYLE,W26-2026,F4,MS,22,0,14K92,324,494,111,295,109
LGD Halo Ring Order,CUST0016,EARRING,BRIDAL COLLECTION,Overdue,F4,MS,8,0,U10K,284,413,136,253,78
Natural Diamond Anklet,CUST0020,RING BRIDAL,EVERYDAY WEAR,W16-2026,F2,WS,0,29,09KPT,641,261,226,145,159
Mined Stone Brooch Order,CUST0074,RING BRIDAL,FASHION JEWELRY,W12-2026,F9,WS/MS,30,29,S930,125,208,277,208,23
Natural Diamond Bracelet,CUST0088,BANGLE,FASHION JEWELRY,W47-2026,F3,MS,49,0,U18K,388,47,89,400,173
LGD Pendant Collection,CUST0053,NECK PIECE,VINTAGE STYLE,W14-2026,F10,WS,0,38,S925,534,62,147,248,60
Mined Stone Brooch Order,CUST0092,RING,BRIDAL COLLECTION,W33-2026,F4,WS,0,7,PT95,387,307,274,235,81
Mined Stone Brooch Order,CUST0078,RING BRIDAL,VINTAGE STYLE,Overdue,F4,WS,0,16,10K,677,118,139,54,22
Mined Stone Ring Collection,CUST0060,EARRING,FINE JEWELRY,Due,F10,MS,46,0,U18K,215,120,118,12,88
Natural Diamond Bangle Order,CUST0079,ANKLET,FINE JEWELRY,W50-2026,F1,MS,46,0,09K92,40,7,278,145,129
LGD Diamond Necklace,CUST0082,NECKLACE,LUXURY LINE,Overdue,F10,MS,31,0,10K92,76,387,213,340,94
LGD Diamond Bangle,CUST0066,RING,FINE JEWELRY,W33-2026,F2,MS,13,0,U10K,588,34,62,363,137
Natural Stone Pendant,CUST0005,RING BRIDAL,CLASSIC COLLECTION,Due,F4,WS,0,13,09K92,909,214,172,143,74
Natural Stone Pendant,CUST0018,RING BRIDAL,BRIDAL COLLECTION,W29-2026,F2,WS,0,29,PT95,526,241,256,181,190
LGD Diamond Earring Set,CUST0079,BRACELET,LUXURY LINE,W35-2026,F4,MS,3,0,U10K,19,452,34,113,186
Mined Diamond Bridal Set,CUST0017,RING,BRIDAL COLLECTION,W25-2026,F4,WS,0,2,09KPT,509,215,8,186,173
LGD Tennis Bracelet Order,CUST0009,NECKLACE,FASHION JEWELRY,W32-2026,F9,MS,23,0,10K92,371,186,174,156,121
Mined Diamond Necklace Order,CUST0065,NECKLACE,CLASSIC COLLECTION,W02-2026,F4,MS,7,0,U18K,123,354,26,164,98
Natural Diamond Ring Order,CUST0032,RING,MODERN DESIGN,W19-2026,F9,WS,0,47,BRASS,126,273,131,323,7
Mined Stone Ring Collection,CUST0031,RING BRIDAL,EVERYDAY WEAR,W13-2026,F4,MS,27,0,PT95,994,72,6,155,44
LGD Diamond Bangle,CUST0002,EARRING,MODERN DESIGN,To Check,F9,MS,19,0,U09K,442,44,7,124,105
Natural Diamond Anklet,CUST0033,NECK PIECE,MODERN DESIGN,W07-2026,F10,MS,49,0,BRASS,76,378,140,115,118
Natural Diamond Bracelet,CUST0015,NECKLACE,CLASSIC COLLECTION,W40-2026,F2,WS,0,32,14K92,787,241,236,285,121
Natural Diamond Bangle Order,CUST0002,RING BRIDAL,BRIDAL COLLECTION,W12-2026,F10,WS/MS,2,13,09KPT,126,322,296,387,157
LGD Tennis Bracelet Order,CUST0008,EARRING,BRIDAL COLLECTION,W36-2026,F1,WS/MS,26,29,10K,967,152,238,29,88
Natural Diamond Bangle Order,CUST0044,RING BRIDAL,LUXURY LINE,W09-2026,F1,MS,45,0,10K92,226,330,211,289,168
LGD Pendant Collection,CUST0003,RING,FASHION JEWELRY,W33-2026,F1,MS,11,0,14K,564,434,261,345,29
LGD Diamond Necklace,CUST0007,ANKLET,VINTAGE STYLE,W35-2026,F9,MS,35,0,09K92,545,294,82,245,178
Natural Diamond Anklet,CUST0003,BRACELET,VINTAGE STYLE,W21-2026,F10,MS,22,0,PT95,169,453,212,133,91
LGD Bridal Set Order,CUST0002,RING,MODERN DESIGN,W25-2026,F4,MS,49,0,PT95,772,230,82,145,52
Natural Stone Pendant,CUST0078,PENDANT,VINTAGE STYLE,Due,F9,MS,33,0,10K92,443,186,66,56,108
Mined Stone Earring Set,CUST0015,BANGLE,LUXURY LINE,W02-2026,F9,WS/MS,25,25,PT95,566,373,9,158,53
Mined Diamond Necklace Order,CUST0090,RING BRIDAL,BRIDAL COLLECTION,W42-2026,F4,WS,0,45,BRASS,147,36,45,144,121
LGD Halo Ring Order,CUST0012,NECKLACE,BRIDAL COLLECTION,W11-2026,F3,WS,0,25,14K92,507,459,279,134,177
Natural Diamond Anklet,CUST0087,RING,FASHION JEWELRY,W46-2026,F3,MS,5,0,09K,234,355,295,157,151
Natural Stone Pendant,CUST0058,RING,MODERN DESIGN,Due,F3,WS,0,43,PT95,445,2,100,115,14
Natural Stone Pendant,CUST0036,RING,CLASSIC COLLECTION,W21-2026,F2,WS/MS,26,30,09KPT,107,256,75,7,159
LGD Eternity Ring,CUST0079,EARRING,MODERN DESIGN,W38-2026,F9,WS/MS,5,2,10K92,950,382,120,89,161
Natural Diamond Bracelet,CUST0038,RING BRIDAL,LUXURY LINE,W41-2026,F1,WS/MS,17,17,U10K,216,323,285,219,62
LGD Diamond Earring Set,CUST0014,EARRING,STATEMENT PIECES,Due,F4,WS,0,26,S928,247,283,122,369,195
Natural Stone Pendant,CUST0037,RING BRIDAL,MODERN DESIGN,W17-2026,F3,WS/MS,6,13,09K92,893,150,21,16,153
Natural Diamond Bracelet,CUST0041,RING,BRIDAL COLLECTION,W16-2026,F3,WS,0,36,S925,280,126,231,179,89
Natural Diamond Bracelet,CUST0081,ANKLET,EVERYDAY WEAR,W09-2026,F2,WS,0,7,14K,369,252,147,321,168
LGD Diamond Earring Set,CUST0050,NECKLACE,FASHION JEWELRY,W43-2026,F1,WS,0,2,U10K,140,16,276,7,157
Mined Diamond Bridal Set,CUST0025,RING BRIDAL,STATEMENT PIECES,W01-2026,F10,WS,0,7,S930,631,463,126,374,16
LGD Eternity Ring,CUST0099,RING BRIDAL,LUXURY LINE,Due,F4,MS,10,0,14K,638,256,134,299,76
Mined Stone Earring Set,CUST0028,ANKLET,FINE JEWELRY,Overdue,F9,WS/MS,21,26,14K92,96,388,236,209,99
Natural Diamond Bracelet,CUST0019,RING BRIDAL,MODERN DESIGN,Overdue,F10,MS,44,0,S925,368,358,24,42,93
Mined Stone Earring Set,CUST0006,RING,EVERYDAY WEAR,W27-2026,F1,MS,32,0,S930,154,46,234,159,112
Mined Stone Brooch Order,CUST0055,RING,BRIDAL COLLECTION,W42-2026,F1,WS,0,43,18K,527,409,44,392,163
Mined Diamond Necklace Order,CUST0066,BROOCH,LUXURY LINE,Due,F2,WS,0,12,PT95,414,355,198,366,49
LGD Diamond Necklace,CUST0040,EARRING,BRIDAL COLLECTION,W49-2026,F10,MS,2,0,09KPT,245,339,180,251,18
Mined Diamond Bridal Set,CUST0041,EARRING,FASHION JEWELRY,Due,F10,WS/MS,24,12,U18K,58,85,154,280,1
Mined Diamond Necklace Order,CUST0090,RING BRIDAL,VINTAGE STYLE,W05-2026,F2,WS,0,38,PT95,439,62,213,164,25
Natural Diamond Bracelet,CUST0024,RING BRIDAL,BRIDAL COLLECTION,Due,F3,MS,47,0,BRASS,670,11,206,114,171
Natural Diamond Ring Order,CUST0026,RING,STATEMENT PIECES,Overdue,F2,WS,0,6,U18K,763,75,81,33,120
Natural Diamond Bangle Order,CUST0010,NECKLACE,VINTAGE STYLE,W37-2026,F1,WS/MS,14,25,14K,479,267,127,165,72
Mined Stone Brooch Order,CUST0032,PENDANT,EVERYDAY WEAR,W33-2026,F1,MS,46,0,U14K,593,102,81,206,53
LGD Diamond Earring Set,CUST0076,ANKLET,VINTAGE STYLE,To Check,F1,WS,0,42,S930,541,189,48,168,2
Mined Stone Ring Collection,CUST0089,BRACELET,LUXURY LINE,W48-2026,F10,WS/MS,9,26,U18K,515,210,288,58,36
LGD Solitaire Engagement Ring,CUST0029,BRACELET,BRIDAL COLLECTION,Due,F10,MS,45,0,18K,439,470,124,203,71
LGD Diamond Bangle,CUST0100,NECKLACE,MODERN DESIGN,Overdue,F9,MS,44,0,U14K,736,279,141,94,95
LGD Diamond Necklace,CUST0028,ANKLET,MODERN DESIGN,W01-2026,F3,MS,7,0,U09K,27,369,125,261,3
Mined Stone Brooch Order,CUST0062,BRACELET,STATEMENT PIECES,W52-2026,F10,MS,20,0,18K,332,108,209,359,114
LGD Diamond Bangle,CUST0032,BRACELET,LUXURY LINE,W32-2026,F4,WS,0,25,U14K,355,378,287,169,122
LGD Solitaire Engagement Ring,CUST0083,EARRING,CLASSIC COLLECTION,W29-2026,F10,WS,0,22,U10K,933,470,12,198,157
Mined Diamond Bridal Set,CUST0080,EARRING,MODERN DESIGN,W41-2026,F2,MS,16,0,09K92,390,143,279,317,4
Natural Diamond Ring Order,CUST0063,PENDANT,LUXURY LINE,W32-2026,F3,WS/MS,5,24,09K92,871,67,181,6,20
Mined Diamond Necklace Order,CUST0085,BROOCH,CLASSIC COLLECTION,To Check,F9,WS,0,46,U09K,112,87,262,308,91
Natural Diamond Anklet,CUST0099,RING BRIDAL,VINTAGE STYLE,To Check,F9,WS/MS,19,16,S928,974,395,241,385,75
LGD Tennis Bracelet Order,CUST0089,EARRING,MODERN DESIGN,W21-2026,F2,WS/MS,13,9,U09K,50,475,294,139,193
Mined Stone Brooch Order,CUST0059,EAR PARTY,VINTAGE STYLE,Due,F3,MS,29,0,U09K,437,342,220,77,43
Mined Stone Brooch Order,CUST0015,BANGLE,MODERN DESIGN,W33-2026,F3,MS,26,0,U10K,973,453,6,180,8
LGD Diamond Bangle,CUST0036,RING BRIDAL,EVERYDAY WEAR,W48-2026,F9,WS,0,10,14K,691,119,101,77,198
Mined Stone Ring Collection,CUST0011,PENDANT,BRIDAL COLLECTION,W45-2026,F10,WS/MS,6,22,U09K,369,86,256,338,138
Natural Diamond Bracelet,CUST0060,BANGLE,BRIDAL COLLECTION,Overdue,F1,WS/MS,9,15,09K,643,114,7,255,73
Natural Diamond Bracelet,CUST0086,RING,MODERN DESIGN,W22-2026,F4,WS/MS,13,19,U10K,411,9,222,296,200
LGD Pendant Collection,CUST0044,NECK PIECE,FINE JEWELRY,Due,F4,MS,27,0,U14K,495,398,24,384,84
Natural Diamond Bangle Order,CUST0034,NECKLACE,BRIDAL COLLECTION,Due,F2,WS/MS,10,3,U14K,557,461,229,158,127
LGD Diamond Necklace,CUST0040,RING BRIDAL,EVERYDAY WEAR,Due,F1,MS,14,0,U09K,263,36,49,98,80
Natural Diamond Bracelet,CUST0025,BANGLE,FASHION JEWELRY,W03-2026,F10,WS,0,11,S928,430,193,185,185,114
Natural Diamond Ring Order,CUST0056,EARRING,LUXURY LINE,W31-2026,F9,MS,19,0,U14K,452,470,248,45,91
Natural Stone Pendant,CUST0025,NECKLACE,LUXURY LINE,W18-2026,F2,MS,22,0,09KPT,492,219,143,278,69
Natural Diamond Anklet,CUST0023,EARRING,VINTAGE STYLE,W27-2026,F4,WS,0,11,U14K,35,451,211,315,50
LGD Halo Ring Order,CUST0025,EAR PARTY,MODERN DESIGN,To Check,F9,WS,0,13,09K92,279,294,81,305,0
LGD Eternity Ring,CUST0046,BOLO BRACELET,FASHION JEWELRY,Overdue,F3,WS,0,26,U18K,881,480,60,126,26
LGD Diamond Necklace,CUST0098,BRACELET,MODERN DESIGN,Overdue,F10,MS,11,0,09K92,108,317,256,227,146
Mined Stone Ring Collection,CUST0095,RING,STATEMENT PIECES,Overdue,F10,WS,0,6,U10K,555,11,242,72,46
Natural Diamond Ring Order,CUST0011,RING BRIDAL,CLASSIC COLLECTION,W07-2026,F4,MS,18,0,PT95,23,416,251,197,150
Natural Diamond Bangle Order,CUST0028,NECK PIECE,MODERN DESIGN,W02-2026,F3,WS,0,41,U14K,961,51,222,38,145
Mined Stone Ring Collection,CUST0068,RING BRIDAL,FASHION JEWELRY,W07-2026,F3,MS,17,0,09K,86,195,47,366,43
LGD Pendant Collection,CUST0075,EARRING,VINTAGE STYLE,W44-2026,F10,MS,17,0,09K92,657,388,117,237,12
LGD Diamond Ring Order,CUST0099,RING,LUXURY LINE,Due,F3,WS,0,30,U18K,735,122,11,263,135
Mined Stone Brooch Order,CUST0098,BROOCH,STATEMENT PIECES,Overdue,F3,WS,0,15,10K,584,15,232,311,135
LGD Eternity Ring,CUST0006,BROOCH,EVERYDAY WEAR,W31-2026,F2,WS,0,27,14K92,677,103,168,245,146
Natural Diamond Ring Order,CUST0049,BRACELET,EVERYDAY WEAR,W52-2026,F1,MS,24,0,09KPT,975,380,178,34,140
Mined Diamond Necklace Order,CUST0086,RING BRIDAL,FASHION JEWELRY,Overdue,F10,WS,0,10,14K92,609,467,47,63,113
Natural Stone Pendant,CUST0023,BRACELET,MODERN DESIGN,W26-2026,F10,WS/MS,6,19,S930,380,249,132,166,162
Mined Diamond Necklace Order,CUST0025,EARRING,STATEMENT PIECES,W09-2026,F2,MS,3,0,U14K,146,293,51,142,156
Natural Diamond Bracelet,CUST0023,BANGLE,FINE JEWELRY,Due,F4,MS,25,0,09KPT,651,433,199,225,47
Mined Stone Brooch Order,CUST0016,EARRING,CLASSIC COLLECTION,Due,F9,WS,0,35,U18K,163,159,267,180,146
Natural Diamond Anklet,CUST0014,PENDANT,CLASSIC COLLECTION,To Check,F4,WS,0,36,S930,961,434,298,337,149
Natural Diamond Bangle Order,CUST0075,NECK PIECE,VINTAGE STYLE,W16-2026,F2,MS,50,0,14K,585,283,287,80,72
Natural Diamond Bangle Order,CUST0056,BANGLE,FASHION JEWELRY,Due,F1,MS,40,0,18K,544,337,54,285,146
Mined Diamond Necklace Order,CUST0087,RING,EVERYDAY WEAR,Overdue,F2,MS,3,0,14K,798,42,95,291,74
LGD Bridal Set Order,CUST0088,NECKLACE,BRIDAL COLLECTION,Due,F1,WS/MS,28,24,18K,934,452,142,335,52
Natural Diamond Bracelet,CUST0045,RING BRIDAL,EVERYDAY WEAR,W22-2026,F9,WS,0,15,09KPT,166,29,53,331,104
LGD Diamond Necklace,CUST0028,PENDANT,LUXURY LINE,W04-2026,F2,WS,0,18,U10K,39,498,78,270,76
LGD Bridal Set Order,CUST0088,RING BRIDAL,CLASSIC COLLECTION,W33-2026,F9,MS,31,0,09K92,122,181,153,125,46
Natural Diamond Anklet,CUST0097,EAR PARTY,MODERN DESIGN,W51-2026,F4,WS/MS,24,2,S925,601,469,139,394,33
LGD Diamond Necklace,CUST0077,ANKLET,VINTAGE STYLE,W10-2026,F3,MS,44,0,U10K,363,334,167,385,104
LGD Diamond Earring Set,CUST0049,RING BRIDAL,LUXURY LINE,Due,F2,WS,0,23,S928,981,314,216,378,1
LGD Bridal Set Order,CUST0063,RING,FINE JEWELRY,Overdue,F10,MS,38,0,S925,753,98,151,248,85
Natural Diamond Ring Order,CUST0065,NECKLACE,EVERYDAY WEAR,W24-2026,F9,MS,18,0,U14K,907,129,183,140,180
LGD Diamond Earring Set,CUST0077,RING BRIDAL,FINE JEWELRY,W46-2026,F9,WS,0,46,S930,11,15,294,192,189
Natural Diamond Ring Order,CUST0090,PENDANT,FINE JEWELRY,Due,F10,MS,41,0,S925,123,266,68,214,32
LGD Diamond Necklace,CUST0032,EARRING,LUXURY LINE,W49-2026,F9,MS,38,0,10K92,231,395,87,19,168
LGD Halo Ring Order,CUST0033,RING BRIDAL,LUXURY LINE,Due,F10,WS/MS,23,15,18K,451,341,51,273,99
Natural Diamond Bracelet,CUST0070,NECK PIECE,CLASSIC COLLECTION,W07-2026,F9,MS,7,0,10K,91,115,282,195,162
LGD Pendant Collection,CUST0062,NECKLACE,MODERN DESIGN,Due,F1,MS,8,0,S928,233,76,270,119,9
Natural Stone Pendant,CUST0060,NECK PIECE,LUXURY LINE,W37-2026,F2,WS/MS,10,15,14K,582,343,142,253,125
LGD Diamond Bangle,CUST0005,PENDANT,FASHION JEWELRY,Overdue,F9,MS,32,0,S928,853,185,63,276,82
LGD Diamond Earring Set,CUST0054,NECK PIECE,FINE JEWELRY,W01-2026,F4,WS/MS,30,9,18K,987,186,110,347,160
LGD Solitaire Engagement Ring,CUST0044,RING,EVERYDAY WEAR,W20-2026,F4,MS,25,0,18K,219,308,230,328,63
LGD Halo Ring Order,CUST0089,BOLO BRACELET,FASHION JEWELRY,W25-2026,F2,WS,0,6,09K92,519,75,222,269,24
LGD Diamond Earring Set,CUST0038,RING,BRIDAL COLLECTION,W27-2026,F1,MS,33,0,14K92,830,54,101,167,182
Mined Diamond Bridal Set,CUST0076,EARRING,CLASSIC COLLECTION,W10-2026,F2,WS/MS,18,25,S925,169,254,267,136,64
Mined Stone Ring Collection,CUST0039,RING,EVERYDAY WEAR,W06-2026,F3,WS/MS,25,18,09KPT,309,149,235,165,159
LGD Pendant Collection,CUST0015,RING,FASHION JEWELRY,W42-2026,F3,MS,15,0,09K,99,11,293,352,25
